model,held_out,H,f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,detection_rate,mean_timing_err,false_toggle_rate,n_true_switches
GRU,Silverstone,10,0.9227736456549362,0.9060272913098724,0.93952,0.975587419587129,0.9547952394059048,0.8460357747707301,0.9260194859328954,0.06287312896314041,0.8172043010752689,0.6973684210526315,0.6290322580645161,372
GRU,Suzuka,10,0.7727943402058138,0.6869514979779361,0.8586371824336916,0.8908920526679595,0.7934844768636995,0.5514716812505581,0.7628894613278265,0.15341085266915,0.4573547589616811,0.581081081081081,2.046971569839308,809
TCN,Monaco,10,0.7982519311666549,0.6416885225427751,0.9548153397905347,0.9460340756250414,0.7509769428293614,0.6152908895412659,0.7561497429808526,0.06614309228397722,0.5748663101604278,1.716279069767442,1.1524064171122994,374
TCN,Monza,10,0.8582987946574497,0.8851861805368927,0.8314114087780068,0.8851387460916738,0.84744709157014,0.724769468351834,0.8529704714269779,0.11008033679854798,0.7287234042553191,1.1046228710462287,0.6932624113475178,564
TCN,Silverstone,10,0.917103837130304,0.8998524831994755,0.9343551910611324,0.9667922231160482,0.9326032193575483,0.8353845145712414,0.9221292654338644,0.0665503634935774,0.7419354838709677,0.5,0.6155913978494624,372
TCN,Suzuka,10,0.6677574206735621,0.5218930216946877,0.8136218196524366,0.7089438953579497,0.6196842049498078,0.36073692584422096,0.6586991760165439,0.24119255043702484,0.45241038318912236,-0.24316939890710382,2.819530284301607,809
Transformer,Monaco,10,0.8725673515527252,0.7797134316049892,0.9654212715004612,0.9711120113857312,0.756590674311839,0.7451452876451662,0.873967470292355,0.04682995448718102,0.7727272727272727,1.9653979238754324,1.7486631016042782,374
Transformer,Monza,10,0.8356168709284157,0.8652196164614505,0.8060141253953811,0.8853111015328186,0.8788400534548655,0.6769930806578577,0.8313805577792506,0.13298125137298386,0.6684397163120568,1.2175066312997347,0.8794326241134752,564
Transformer,Silverstone,10,0.9104687856899039,0.8923944272781482,0.9285431441016595,0.9614645966019112,0.9021789491150354,0.8227733941587193,0.9167079122559175,0.07066824197446589,0.771505376344086,0.3240418118466899,0.6881720430107527,372
Transformer,Suzuka,10,0.7682193738261529,0.6704558910597987,0.865982856592507,0.8883744497176015,0.7511516578352226,0.557438587814835,0.751699482842149,0.1592924638287146,0.4932014833127318,0.9874686716791979,2.0,809
